step,loss_G,loss_D,lr_G,lr_D,grad_norm_G,grad_norm_D
0,7.355174541473389,2.4238548278808594,1e-05,1e-05,5.000000133600377,5.000000035955637
1,9.35094165802002,3.89033842086792,1e-05,1e-05,4.999999863549487,4.999999560606361
2,9.03965950012207,2.7400074005126953,1e-05,1e-05,5.000000248890677,4.999999762169052
3,8.25306224822998,2.6805918216705322,1e-05,1e-05,4.999999831696582,4.999999990380027
4,8.076208114624023,2.628190040588379,1e-05,1e-05,5.000000204251149,4.999999828910787
5,10.972739219665527,3.5858216285705566,1e-05,1e-05,5.000000074585968,5.000000450529295
6,11.41252613067627,3.489126682281494,1e-05,1e-05,4.999999420305505,4.999999829697629
7,10.121074676513672,4.1504645347595215,1e-05,1e-05,4.999999907554774,4.999999985211083
8,7.983447074890137,2.446213960647583,1e-05,1e-05,5.000000018269228,4.9999999087087685
9,6.320834159851074,3.083091974258423,1e-05,1e-05,4.999999933970489,4.999999901766364
10,6.712240219116211,2.7736008167266846,1e-05,1e-05,4.9999997412164605,5.000000311144436
11,8.693096160888672,2.8556089401245117,1e-05,1e-05,4.999999938621595,4.999999527466558
12,8.554901123046875,2.4148881435394287,1e-05,1e-05,5.000000245584514,4.999999851516083
13,8.566204071044922,3.3921146392822266,1e-05,1e-05,4.999999666340216,5.000000177515496
14,7.093266010284424,2.378948926925659,1e-05,1e-05,4.999999595574451,5.000000144883783
15,7.036276340484619,3.6124398708343506,1e-05,1e-05,5.000000071836097,5.0000003529162225
16,4.223591327667236,2.4320106506347656,1e-05,1e-05,5.000000304759872,4.99999945720042
17,7.216979503631592,3.0228524208068848,1e-05,1e-05,5.00000041248974,5.000000006570128
18,5.881587982177734,2.8934683799743652,1e-05,1e-05,5.000000023800046,4.999999863318757
19,7.33964204788208,2.3883941173553467,1e-05,1e-05,4.999999706896093,4.999999249569643
20,8.300459861755371,3.2288718223571777,1e-05,1e-05,4.999999956261462,4.999999649182811
21,6.944437026977539,2.375326633453369,1e-05,1e-05,4.9999997873816815,4.999999791685606
22,5.690569877624512,2.274796485900879,1e-05,1e-05,5.000000086086438,4.999999686599147
23,6.439584255218506,3.1170074939727783,1e-05,1e-05,4.999999732489673,4.999999899285497
24,6.848623275756836,2.457979679107666,1e-05,1e-05,5.000000104875498,4.999999963636736
25,4.992739677429199,2.7418930530548096,1e-05,1e-05,4.999999856902807,5.000000245406129
26,6.370855331420898,2.214171886444092,1e-05,1e-05,5.000000171287694,5.0000003330759695
27,4.865228176116943,2.4695868492126465,1e-05,1e-05,5.000000429430793,4.999999660582676
28,6.7859206199646,3.5906291007995605,1e-05,1e-05,5.000000161127386,5.000000107562274
29,6.429203033447266,2.300532579421997,1e-05,1e-05,4.999999679715361,4.999999678872952
30,6.437078952789307,2.3087222576141357,1e-05,1e-05,5.00000004836726,4.999999746860433
31,5.3885016441345215,2.4081523418426514,1e-05,1e-05,5.000000066801485,4.999999856734304
32,8.083645820617676,2.7643418312072754,1e-05,1e-05,5.000000196517104,4.999999443623173
33,5.627450466156006,2.514300584793091,1e-05,1e-05,5.0000001320091405,4.999999347314758
34,6.949913024902344,2.7034990787506104,1e-05,1e-05,4.999999669694715,4.99999990003842
35,6.925638198852539,2.5331828594207764,1e-05,1e-05,4.999999875702642,4.999999770921215
36,6.007009506225586,2.484178066253662,1e-05,1e-05,4.999999642875342,5.0000003092044
37,6.234775543212891,3.053891181945801,1e-05,1e-05,4.999999853886049,4.999999641875209
38,7.085107326507568,2.8502776622772217,1e-05,1e-05,4.999999756744003,4.9999997435645955
39,6.732307434082031,2.760406970977783,1e-05,1e-05,4.999999822622836,5.000000053487934
40,7.948025703430176,2.6823441982269287,1e-05,1e-05,4.999999973798213,5.000000144712448
41,8.111429214477539,2.6850340366363525,1e-05,1e-05,5.000000292120074,4.99999989372836
42,5.3759026527404785,2.231950283050537,1e-05,1e-05,4.99999965589614,4.999999809732836
43,5.334053993225098,2.440432548522949,1e-05,1e-05,5.000000421071151,4.999999906921544
44,7.201086521148682,2.700268268585205,1e-05,1e-05,5.000000175143739,4.9999998070844915
45,6.304370880126953,2.1289048194885254,1e-05,1e-05,4.9999994408435775,4.999999708997872
46,5.701727390289307,2.4322316646575928,1e-05,1e-05,4.999999875301733,5.000000157798848
47,4.834187030792236,2.797027826309204,1e-05,1e-05,4.9999997089296,5.000000111920629
48,4.168791770935059,2.4085731506347656,1e-05,1e-05,4.999999478423144,4.999999825776087
49,5.6824846267700195,2.076124429702759,1e-05,1e-05,5.000000139744931,5.000000013293718
