epoch,train_loss,val_loss,lr
1,1.198027896285057,1.1795545611619949,3.2500000000000004e-05
2,0.6772355530085042,0.003693419282906689,5.500000000000001e-05
3,0.003974722909915727,0.0029414264269988053,7.75e-05
4,0.003102196750114672,0.0022176077366340904,0.0001
5,0.002229182115988806,0.0014153190278448165,7.75e-05
6,0.001459291352366563,0.0010832845738041215,5.500000000000001e-05
7,0.0011463715002173558,0.0009325673233950511,3.2500000000000004e-05
8,0.0009761095463181846,0.0008824517851928248,1e-05
9,0.000914774801058229,0.0008422055931645446,3.2500000000000004e-05
10,0.0008683507901150733,0.0007870830544503406,5.500000000000001e-05
11,0.0007978419281425886,0.0007262272428837605,7.75e-05
12,0.0007295758693362586,0.0006989343660883606,0.0001
13,0.0006882371837855317,0.0006711552507360466,7.75e-05
14,0.0006745500338729471,0.000667236206412781,5.500000000000001e-05
15,0.0006720300551387482,0.0006656041510170325,3.2500000000000004e-05
16,0.0006706680275965482,0.0006641879757982678,1e-05
17,0.000669725599582307,0.000663740137743298,3.2500000000000004e-05
18,0.0006692732550436631,0.0006630230331793427,5.500000000000001e-05
19,0.0006683844840154052,0.0006613913223613054,7.75e-05
20,0.0006657783867558464,0.0006588894544867799,0.0001
21,0.0006643956294283271,0.0006585537370643579,7.75e-05
22,0.000663813341234345,0.0006587627886328846,5.500000000000001e-05
23,0.0006637557677458972,0.0006580837886664085,3.2500000000000004e-05
24,0.0006632610168890097,0.0006576465047197416,1e-05
25,0.0006630245823180303,0.0006576532355509698,3.2500000000000004e-05
26,0.0006630357276299037,0.0006575803887564689,5.500000000000001e-05
27,0.0006631909892894327,0.0006575819949503057,7.75e-05
28,0.0006634112031315454,0.0006570863076951355,0.0001
29,0.000663533377519343,0.0006566090206149965,7.75e-05
30,0.0006634033838054165,0.0006573011923814193,5.500000000000001e-05
